Brand,Capacity(kg),Price,Rating(out of 5),Total rating,Total reviews,
LG,7,21190,4.8,,0,
LG,7,21079,4.3,61,6574,
LG,7,21079,4.6,,1,
BOSCH,6.5,20999,3.9,205,149,
SAMSUNG,7.5,20999,4.3,55,1118,
LG,7,20990,,4349,52,
LG,10,20990,4.3,815,462,
Panasonic,8,20990,4.2,100,169,
MOTOROLA,7,20990,4.3,61,6574,
Godrej,7,20990,3.7,,0,
Voltas,6,20990,4.3,,4,
LG,7,20990,4.3,,71,
SAMSUNG,8,20990,4.4,,113,
White westinghouse,10.5,20990,4.5,,0,
LG,7,20980,,52,1,
Godrej,7.5,20959,4.3,694,2045,
Whirlpool,7.5,20774,,49,0,
Whirlpool,7.5,20774,4.2,,8,
LG,6.5,20690,,4349,52,
LG,6.5,20690,4.3,,6,
Equator,8,20511,,4349,52,
Equator,8,20511,,4349,52,
Equator,8,20511,4.3,992,1499,
Equator,8,20511,4.3,846,273,
Equator,8,20511,4.2,790,349,
Equator,8,20511,4.4,663,402,
Equator,8,20511,,410,1,
Equator,8,20511,4.3,323,3004,
Equator,8,20511,4.3,323,3004,
Equator,8,20511,4.4,150,1475,
Equator,8,20511,4.3,61,6574,
Equator,8,20511,4.3,55,1188,
Equator,8,20511,4.3,55,1118,
Equator,8,20511,4.3,55,1118,
Equator,8,20511,,53,1,
Equator,8,20511,4.2,40,91,
Equator,8,20511,4.2,,16,
Equator,8,20511,4.3,,14,
Equator,8,20511,4.4,,113,
Equator,8,20511,4.4,,113,
Equator,8,20511,4.4,,9,
Equator,8,20511,4.5,,4,
Equator,8,20511,4.6,,0,
Whirlpool,7,20490,4.3,815,462,
LG,7,20490,4.1,,4,
Godrej,7,20391,4.5,,7,
SAMSUNG,7,20000,4.5,116,100,
SAMSUNG,7,20000,4.1,,5,
Godrej,10,19999,4.4,,113,
LG,6.5,19992,4.1,,7,
SAMSUNG,8,19990,4.3,694,2045,
White westinghouse,8.5,19990,4.3,336,1115,
TCL,8.5,19990,4.2,,17,
LG,8,19990,4.4,,113,
Godrej,6.5,19990,4.4,,113,
IFB,6.5,19774,3.3,,3,
Lloyd,7,19589,4.2,881,439,
LG,7,19589,4.6,,0,
Lloyd,8,19490,4.4,929,296,
SAMSUNG,7,19490,4.4,,113,
IFB,6.5,19290,4.3,55,1118,
Whirlpool,7.5,19129,4.3,694,2045,
Whirlpool,6.5,19090,4.4,,31,
BOSCH,6.5,18999,4.3,,1,
BOSCH,7,18990,4.3,694,2045,
Galanz,10,18990,4.3,61,6574,
Voltas,9,18990,3.3,,0,
LG,11,18990,3.8,,8,
Whirlpool,6.5,18990,4.5,,27,
Whirlpool,6.5,18990,4.7,,6,
SAMSUNG,6.5,18989,4.2,,2,
Panasonic,10,18900,,4349,52,
Panasonic,12,18760,4.2,,185,
SAMSUNG,7,18690,,431,4,
IFB,7,18690,4.2,55,1118,
SAMSUNG,7,18690,4.1,,3,
Lloyd,7.5,18639,4.4,,5,
Godrej,6.5,18599,4.4,,113,
IFB,6.5,18499,4.4,550,221,
Whirlpool,6.5,18490,3.9,,1,
Godrej,7.5,18490,4.4,,12,
Godrej,7,18490,4.4,,2,
SAMSUNG,6.5,18419,4.3,659,2643,
SAMSUNG,6.5,18419,4.4,,28,
Haier,10,18359,4.6,,3,
SAMSUNG,7,18340,4.3,694,2045,
